City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
147,Viedma,AR,54.0,moderate rain,-40.8135,-62.9967,Hotel Cristal
149,Grand-Santi,GF,73.09,light rain,4.25,-54.3833,Hotel La Villa Couacou
150,Mitu,CO,70.32,light rain,1.1983,-70.1733,
151,Coihaique,CL,35.55,sleet,-45.5752,-72.0662,Diego De Almagro Coyhaique
152,Saldanha,ZA,50.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
153,Flinders,AU,58.28,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
154,Tuatapere,NZ,56.55,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
156,Kisangani,CD,68.94,light rain,0.5167,25.2,Grand Ramela Hotel
157,Amot,NO,47.79,clear sky,59.5714,7.9877,Groven Camping og Hyttegrend AS
158,Bethel,US,62.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
159,Iqaluit,CA,38.93,clear sky,63.7506,-68.5145,Frobisher Inn
160,Corral Nuevo,MX,78.21,broken clouds,18.1146,-95.1154,
161,Port Shepstone,ZA,64.0,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
163,Porto Walter,BR,75.52,overcast clouds,-8.2686,-72.7439,Hotel Silva
164,Margate,GB,53.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
165,Shenjiamen,CN,72.27,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
166,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
167,Valverde Del Camino,ES,64.02,few clouds,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
168,Sitka,US,62.49,overcast clouds,57.0531,-135.33,Westmark Sitka
170,Saint Anthony,US,64.85,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
171,Onguday,RU,43.81,overcast clouds,50.75,86.15,Barskaya Usad'ba
173,Lavrentiya,RU,43.14,scattered clouds,65.5833,-171.0,
174,Plettenberg Bay,ZA,59.47,clear sky,-34.0527,23.3716,Thanda Vista B&B
175,Lazaro Cardenas,MX,78.8,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
176,Poplar Bluff,US,78.58,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
178,Caucaia,BR,76.95,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
179,Krasnoselkup,RU,39.25,clear sky,65.7,82.4667,Krasnosel'kupnefteprodukt
