City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Bredasdorp,ZA,2022-02-11 02:27:12,-34.5322,20.0403,52.92,87,0,4.61
95,Eyl,SO,2022-02-11 02:27:12,7.9803,49.8164,69.75,67,10,13.89
96,Hervey Bay,AU,2022-02-11 02:27:12,-25.2986,152.8535,88.03,62,0,14.0
97,Haines Junction,CA,2022-02-11 02:27:13,60.7522,-137.5108,3.43,98,10,4.59
98,Jawar,IN,2022-02-11 02:27:13,23.0,76.5,50.9,51,3,5.48
99,Georgetown,MY,2022-02-11 02:23:27,5.4112,100.3354,80.53,85,20,3.44
100,Ambilobe,MG,2022-02-11 02:27:14,-13.2,49.05,72.93,98,99,1.81
101,Passos,BR,2022-02-11 02:27:14,-20.7189,-46.6097,66.56,97,100,2.57
102,Beringovskiy,RU,2022-02-11 02:26:11,63.05,179.3167,-20.99,95,28,7.05
103,Cidreira,BR,2022-02-11 02:26:09,-30.1811,-50.2056,74.32,80,14,19.01
104,Saint-Philippe,RE,2022-02-11 02:22:30,-21.3585,55.7679,74.79,80,12,5.26
105,Shelburne,CA,2022-02-11 02:27:14,44.0787,-80.2041,28.85,85,82,9.73
106,Hermanus,ZA,2022-02-11 02:27:15,-34.4187,19.2345,61.9,79,0,2.42
107,Luderitz,NA,2022-02-11 02:27:15,-26.6481,15.1594,69.19,66,23,13.31
108,Cape Town,ZA,2022-02-11 02:27:15,-33.9258,18.4232,63.27,76,0,4.61
109,Yarada,IN,2022-02-11 02:27:16,17.65,83.2667,70.12,94,20,2.3
110,Maarianhamina,AX,2022-02-11 02:27:16,60.0973,19.9348,31.86,69,0,6.91
111,Iqaluit,CA,2022-02-11 02:27:16,63.7506,-68.5145,1.13,77,75,2.3
112,Kenai,US,2022-02-11 02:27:17,60.5544,-151.2583,30.02,73,100,5.75
113,Rawson,AR,2022-02-11 02:27:17,-43.3002,-65.1023,58.57,57,0,16.64
114,Davidson,US,2022-02-11 02:27:18,36.1501,-86.7833,49.68,45,0,4.61
115,Faanui,PF,2022-02-11 02:27:18,-16.4833,-151.75,81.59,73,30,14.14
116,Butembo,CD,2022-02-11 02:27:18,0.15,29.2833,59.63,61,53,3.18
117,Wajir,KE,2022-02-11 02:27:19,1.7471,40.0573,73.35,75,0,11.39
118,Avarua,CK,2022-02-11 02:27:19,-21.2078,-159.775,78.85,78,75,9.22
119,Pitimbu,BR,2022-02-11 02:27:20,-7.4706,-34.8086,81.19,75,51,9.35
120,Altamira,BR,2022-02-11 02:22:22,-3.2033,-52.2064,72.82,97,100,1.95
121,Port Macquarie,AU,2022-02-11 02:27:20,-31.4333,152.9167,79.9,52,47,14.65
122,Rudbar,AF,2022-02-11 02:27:20,30.15,62.6,52.75,22,0,7.05
123,Codrington,AU,2022-02-11 02:27:21,-38.2667,141.9667,66.07,50,100,16.04
124,Nhulunbuy,AU,2022-02-11 02:25:15,-12.2333,136.7667,90.21,62,75,10.36
125,Johor Bahru,MY,2022-02-11 02:27:21,1.4655,103.7578,78.91,83,75,5.75
126,Hithadhoo,MV,2022-02-11 02:27:22,-0.6,73.0833,80.91,68,100,3.98
127,Severo-Kurilsk,RU,2022-02-11 02:23:58,50.6789,156.125,28.98,71,94,4.85
128,Bathsheba,BB,2022-02-11 02:27:22,13.2167,-59.5167,77.61,69,40,18.41
129,San Luis,AR,2022-02-11 02:25:10,-33.295,-66.3356,82.09,47,75,21.85
130,Mountain Home,US,2022-02-11 02:27:22,43.133,-115.6912,45.34,100,0,4.61
131,Vila Franca Do Campo,PT,2022-02-11 02:27:23,37.7167,-25.4333,59.2,74,99,6.51
132,Kungurtug,RU,2022-02-11 02:27:23,50.5994,97.5228,-21.37,95,28,1.23
133,Porbandar,IN,2022-02-11 02:27:23,21.6422,69.6093,65.57,42,66,12.53
134,Kalengwa,ZM,2022-02-11 02:27:24,-13.4659,25.0027,61.93,97,100,3.31
135,Sanming,CN,2022-02-11 02:28:24,26.2486,117.6186,55.02,98,100,2.48
136,Hobart,AU,2022-02-11 02:28:24,-42.8794,147.3294,72.01,41,75,10.36
137,Arraial Do Cabo,BR,2022-02-11 02:28:25,-22.9661,-42.0278,72.1,92,100,1.7
138,Nizhniy Kuranakh,RU,2022-02-11 02:28:25,58.8353,125.4869,-20.49,96,100,1.48
139,Marzuq,YE,2022-02-11 02:28:25,14.4,46.4667,57.31,44,5,0.92
140,Dingle,PH,2022-02-11 02:28:26,10.9995,122.6711,80.01,76,100,12.95
141,Tuatapere,NZ,2022-02-11 02:28:26,-46.1333,167.6833,63.82,72,62,11.14
142,Vaini,TO,2022-02-11 02:28:26,-21.2,-175.2,86.16,84,40,11.5
143,Formiga,BR,2022-02-11 02:28:27,-20.4644,-45.4264,65.68,96,100,4.05
144,Menongue,AO,2022-02-11 02:28:27,-14.6585,17.691,61.38,95,100,2.26
145,Bucerias,MX,2022-02-11 02:28:27,20.75,-105.3333,69.98,73,0,3.44
146,Boa Vista,BR,2022-02-11 02:27:13,2.8197,-60.6733,84.18,58,20,10.36
147,San Lawrenz,MT,2022-02-11 02:28:28,36.0553,14.204,45.81,71,0,7.74
148,Kalabo,ZM,2022-02-11 02:23:46,-14.97,22.6814,67.87,87,100,4.07
149,San Patricio,US,2022-02-11 02:28:28,28.017,-97.5169,59.83,61,100,7.16
150,Yashalta,RU,2022-02-11 02:28:28,46.3395,42.2762,37.15,97,100,13.76
151,Bar-Le-Duc,FR,2022-02-11 02:28:29,48.75,5.1667,46.58,97,100,6.51
152,Chuy,UY,2022-02-11 02:23:46,-33.6971,-53.4616,69.55,79,0,9.78
153,Kos,GR,2022-02-11 02:28:29,36.8933,27.2889,51.24,54,0,2.35
154,Mahebourg,MU,2022-02-11 02:28:30,-20.4081,57.7,75.49,94,40,2.3
155,Kavaratti,IN,2022-02-11 02:28:30,10.5669,72.642,79.72,73,62,10.89
156,Isiro,CD,2022-02-11 02:28:30,2.7739,27.616,65.26,64,8,1.28
157,Bani,DO,2022-02-11 02:28:31,18.2833,-70.3333,74.75,82,10,8.52
158,Mendoza,AR,2022-02-11 02:25:27,-32.8908,-68.8272,67.53,68,40,14.97
159,Sept-Iles,CA,2022-02-11 02:28:31,50.2001,-66.3821,30.72,96,100,11.5
160,Hwange,ZW,2022-02-11 02:28:31,-18.3693,26.5019,66.31,92,100,2.13
161,Chapais,CA,2022-02-11 02:28:32,49.7834,-74.8492,1.18,94,100,7.0
162,Tunkas,MX,2022-02-11 02:28:32,20.9,-88.75,67.68,81,58,6.22
163,Ruidoso,US,2022-02-11 02:28:32,33.3317,-105.673,44.1,28,0,5.75
164,Cururupu,BR,2022-02-11 02:27:43,-1.8283,-44.8683,75.02,92,100,1.92
165,Taoudenni,ML,2022-02-11 02:28:33,22.6783,-3.9836,58.75,31,2,10.49
166,Quatre Cocos,MU,2022-02-11 02:28:33,-20.2078,57.7625,75.31,85,8,6.15
167,Chokurdakh,RU,2022-02-11 02:28:34,70.6333,147.9167,-24.86,90,69,9.91
168,Isangel,VU,2022-02-11 02:28:34,-19.55,169.2667,86.11,79,75,11.5
169,Praya,CV,2022-02-11 02:28:34,14.9215,-23.5087,75.74,53,0,17.27
170,Gamba,GA,2022-02-11 02:28:34,-2.65,10.0,77.25,86,100,3.06
171,Manzhouli,CN,2022-02-11 02:28:35,49.6,117.4333,-2.83,92,61,5.91
172,Longyearbyen,SJ,2022-02-11 02:28:35,78.2186,15.6401,19.24,86,75,3.44
173,Alma,CA,2022-02-11 02:28:36,48.5501,-71.6491,34.63,86,100,13.38
174,Port Lincoln,AU,2022-02-11 02:28:33,-34.7333,135.8667,67.91,58,4,13.85
175,Ust-Tsilma,RU,2022-02-11 02:28:36,65.441,52.1498,22.8,89,100,10.45
176,Tecoanapa,MX,2022-02-11 02:28:36,16.5167,-98.75,76.21,69,73,5.5
177,Gao,ML,2022-02-11 02:28:37,16.6362,1.637,68.09,9,0,11.27
178,Touros,BR,2022-02-11 02:28:37,-5.1989,-35.4608,79.7,75,9,9.8
179,Upernavik,GL,2022-02-11 02:28:37,72.7868,-56.1549,-14.48,99,70,4.83
180,Wewak,PG,2022-02-11 02:29:38,-3.5534,143.6268,81.43,77,100,5.37
181,General Roca,AR,2022-02-11 02:29:38,-39.0333,-67.5833,70.2,20,49,15.14
182,Kutum,SD,2022-02-11 02:29:38,14.2,24.6667,49.96,30,0,7.36
183,Abbeyfeale,IE,2022-02-11 02:29:39,52.3814,-9.3025,36.52,85,100,4.34
184,Nikolskoye,RU,2022-02-11 02:28:08,59.7035,30.7861,32.4,91,96,8.59
185,Turkistan,KZ,2022-02-11 02:29:15,43.0,68.0,36.93,49,84,10.16
186,Galveston,US,2022-02-11 02:29:25,29.3669,-94.9669,61.18,80,0,4.61
187,Bull Savanna,JM,2022-02-11 02:29:39,17.8868,-77.5902,73.76,85,53,7.05
188,Road Town,VG,2022-02-11 02:29:40,18.4167,-64.6167,75.99,77,2,17.63
189,Esperance,AU,2022-02-11 02:29:40,-33.8667,121.9,100.24,27,32,22.21
190,Maniitsoq,GL,2022-02-11 02:29:40,65.4167,-52.9,22.01,90,100,14.34
191,Leningradskiy,RU,2022-02-11 02:29:10,69.3833,178.4167,-23.55,96,70,3.04
192,Canton,CN,2022-02-11 02:25:22,23.1167,113.25,57.15,86,100,1.54
193,Hambantota,LK,2022-02-11 02:29:15,6.1241,81.1185,75.54,100,75,3.44
194,San Matias,BO,2022-02-11 02:29:41,-16.3667,-58.4,73.78,95,80,5.57
195,Glinka,RU,2022-02-11 02:29:41,54.6404,32.8781,27.09,96,100,6.67
196,Straumen,NO,2022-02-11 02:29:42,63.8709,11.2999,31.95,65,79,14.27
197,Garowe,SO,2022-02-11 02:29:42,8.4054,48.4845,61.0,80,7,8.34
198,Portland,US,2022-02-11 02:27:51,45.5234,-122.6762,49.6,90,20,9.22
199,Skeldon,GY,2022-02-11 02:29:42,5.8833,-57.1333,74.75,89,46,7.38
200,Northam,GB,2022-02-11 02:29:43,51.0333,-4.2167,42.62,78,4,9.84
201,Ylivieska,FI,2022-02-11 02:29:43,64.0833,24.55,28.89,86,33,10.11
202,Cleveland,US,2022-02-11 02:27:47,41.4995,-81.6954,33.62,70,100,14.97
203,Tarakan,ID,2022-02-11 02:29:43,3.3,117.6333,80.1,89,100,3.44
204,Penzance,GB,2022-02-11 02:29:44,50.1186,-5.5371,43.81,65,10,11.14
205,Sainte-Marie,RE,2022-02-11 02:29:44,-20.8968,55.5496,75.36,89,0,5.75
206,Ndele,CF,2022-02-11 02:29:44,8.4109,20.6473,69.58,19,27,4.92
207,Cairns,AU,2022-02-11 02:26:06,-16.9167,145.7667,92.07,68,27,8.05
208,Berlevag,NO,2022-02-11 02:28:34,70.8578,29.0864,23.27,79,100,10.98
209,Hami,CN,2022-02-11 02:29:45,42.8,93.45,25.2,67,100,7.09
210,Lorengau,PG,2022-02-11 02:29:45,-2.0226,147.2712,82.45,79,100,6.76
211,Inta,RU,2022-02-11 02:29:46,66.0317,60.1659,16.52,73,100,16.44
212,Ornskoldsvik,SE,2022-02-11 02:29:46,63.2909,18.7153,27.55,80,86,12.66
213,Coquimbo,CL,2022-02-11 02:25:09,-29.9533,-71.3436,64.13,88,100,6.91
214,Kaitangata,NZ,2022-02-11 02:29:46,-46.2817,169.8464,67.93,75,17,7.18
215,Baghdad,IQ,2022-02-11 02:29:47,33.3406,44.4009,46.31,66,1,5.75
216,Galle,LK,2022-02-11 02:24:48,6.0367,80.217,76.89,84,95,6.73
217,Cheney,US,2022-02-11 02:28:22,47.4874,-117.5758,39.54,88,20,6.91
218,Cartagena Del Chaira,CO,2022-02-11 02:29:47,1.3349,-74.8429,75.67,84,100,1.99
219,Palkino,RU,2022-02-11 02:29:48,57.5409,28.0126,33.55,79,100,8.86
220,Takoradi,GH,2022-02-11 02:29:48,4.8845,-1.7554,78.1,91,0,5.37
221,Chara,RU,2022-02-11 02:29:48,56.9064,118.2631,-16.85,89,93,1.5
222,Provideniya,RU,2022-02-11 02:28:28,64.3833,-173.3,-7.49,64,0,8.95
