City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Hofn,IS,64.2539,-15.2082,51.67,64,93,9.4,overcast clouds
118,Portland,US,45.5234,-122.6762,62.02,88,97,7.0,overcast clouds
119,Aras,ES,42.5617,-2.356,52.23,88,0,5.75,clear sky
120,Mahebourg,MU,-20.4081,57.7,70.25,83,40,2.3,scattered clouds
121,Tiarei,PF,-17.5333,-149.3333,80.62,74,36,17.76,light rain
122,Broome,US,42.2506,-75.833,59.7,74,29,3.49,scattered clouds
123,Barcelos,PT,41.5388,-8.6151,59.85,88,100,3.47,overcast clouds
124,Kapaa,US,22.0752,-159.319,80.58,72,0,12.66,clear sky
125,Kaitangata,NZ,-46.2817,169.8464,55.8,70,0,5.3,clear sky
126,Kurumkan,RU,54.3,110.3,65.16,60,39,3.38,scattered clouds
127,Mataura,NZ,-46.1927,168.8643,55.47,71,0,3.89,clear sky
128,Bubaque,GW,11.2833,-15.8333,79.68,81,84,10.56,broken clouds
129,Bengkulu,ID,-3.8004,102.2655,81.86,69,93,1.99,overcast clouds
130,Anloga,GH,5.7947,0.8973,78.42,81,100,1.92,moderate rain
131,Barrow,US,71.2906,-156.7887,28.42,80,100,24.16,overcast clouds
132,Airai,TL,-8.9266,125.4092,72.27,64,100,3.47,overcast clouds
133,Teknaf,BD,20.8624,92.3058,84.96,71,19,5.99,few clouds
134,Uruzgan,AF,32.8333,66.0,74.46,10,0,1.95,clear sky
135,Yumen,CN,40.2833,97.2,76.15,18,33,8.84,scattered clouds
136,New Norfolk,AU,-42.7826,147.0587,47.7,85,99,5.01,light rain
137,Pemangkat,ID,1.1667,108.9667,84.09,70,96,5.48,overcast clouds
138,Vaini,TO,-21.2,-175.2,78.96,78,20,6.91,few clouds
139,Chililabombwe,ZM,-12.3648,27.8229,49.35,82,14,6.78,few clouds
140,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,75,17.27,broken clouds
141,Hilo,US,19.7297,-155.09,85.28,80,75,4.0,broken clouds
142,Sunagawa,JP,43.4864,141.9056,64.65,52,89,3.44,overcast clouds
143,Horsham,GB,51.064,-0.3272,56.93,93,40,8.05,scattered clouds
144,Zagreb,HR,45.8131,15.9775,67.48,79,20,14.97,few clouds
145,Angoche,MZ,-16.2325,39.9086,67.5,91,93,10.87,overcast clouds
146,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,32,0,20.71,clear sky
147,Viedma,AR,-40.8135,-62.9967,54.0,47,70,17.05,moderate rain
148,Dingle,PH,10.9995,122.6711,86.81,65,100,6.38,overcast clouds
149,Grand-Santi,GF,4.25,-54.3833,73.09,99,100,2.53,light rain
150,Mitu,CO,1.1983,-70.1733,70.32,98,28,1.48,light rain
151,Coihaique,CL,-45.5752,-72.0662,35.55,100,100,1.14,sleet
152,Saldanha,ZA,-33.0117,17.9442,50.05,36,0,8.14,clear sky
153,Flinders,AU,-34.5833,150.8552,58.28,58,2,17.45,clear sky
154,Tuatapere,NZ,-46.1333,167.6833,56.55,73,3,5.82,clear sky
155,Maltahohe,NA,-24.8333,16.9833,47.57,42,69,7.36,broken clouds
156,Kisangani,CD,0.5167,25.2,68.94,99,89,1.9,light rain
157,Amot,NO,59.5714,7.9877,47.79,71,5,1.21,clear sky
158,Bethel,US,41.3712,-73.414,62.65,77,0,4.61,clear sky
159,Iqaluit,CA,63.7506,-68.5145,38.93,80,0,12.66,clear sky
160,Corral Nuevo,MX,18.1146,-95.1154,78.21,72,54,7.76,broken clouds
161,Port Shepstone,ZA,-30.7414,30.455,64.0,85,100,6.91,overcast clouds
162,Samarai,PG,-10.6167,150.6667,81.25,78,97,12.35,heavy intensity rain
163,Porto Walter,BR,-8.2686,-72.7439,75.52,82,100,2.28,overcast clouds
164,Margate,GB,51.3813,1.3862,53.31,93,96,5.01,overcast clouds
165,Shenjiamen,CN,29.9576,122.298,72.27,78,35,8.99,scattered clouds
166,Camacha,PT,33.0833,-16.3333,62.02,77,20,9.22,few clouds
167,Valverde Del Camino,ES,37.5751,-6.7543,64.02,58,17,6.15,few clouds
168,Sitka,US,57.0531,-135.33,62.49,55,100,3.44,overcast clouds
169,Rahon,IN,31.05,76.1167,98.83,11,4,7.09,clear sky
170,Saint Anthony,US,45.0205,-93.218,64.85,80,0,9.22,clear sky
171,Onguday,RU,50.75,86.15,43.81,93,100,2.59,overcast clouds
172,Wattegama,LK,6.7989,81.4808,82.6,66,100,10.94,overcast clouds
173,Lavrentiya,RU,65.5833,-171.0,43.14,60,46,6.89,scattered clouds
174,Plettenberg Bay,ZA,-34.0527,23.3716,59.47,58,4,5.23,clear sky
175,Lazaro Cardenas,MX,17.9583,-102.2,78.8,79,96,5.97,overcast clouds
176,Poplar Bluff,US,36.757,-90.3929,78.58,76,0,0.0,clear sky
177,San Pedro,PH,14.35,121.0167,91.26,68,40,9.22,scattered clouds
178,Caucaia,BR,-3.7361,-38.6531,76.95,85,75,3.44,broken clouds
179,Krasnoselkup,RU,65.7,82.4667,39.25,44,9,8.16,clear sky
180,Saskylakh,RU,71.9167,114.0833,38.97,54,100,3.78,overcast clouds
181,Ocean City,US,39.2776,-74.5746,62.98,80,8,2.71,clear sky
182,Clyde River,CA,70.4692,-68.5914,29.48,91,16,4.27,few clouds
183,Saint-Francois,FR,46.4154,3.9054,58.44,94,100,0.0,overcast clouds
184,Wahpeton,US,46.2652,-96.6059,69.82,43,0,0.0,clear sky
185,Kashi,CN,39.4547,75.9797,74.41,31,40,4.47,scattered clouds
186,Lebu,CL,-37.6167,-73.65,50.88,87,100,3.67,overcast clouds
187,Husavik,IS,66.0449,-17.3389,39.92,63,7,15.35,clear sky
188,Saint-Philippe,RE,-21.3585,55.7679,69.39,71,57,7.67,broken clouds
189,Bestobe,KZ,52.4994,73.0975,61.72,45,18,5.97,few clouds
190,Ames,US,42.0347,-93.6199,65.12,96,100,6.91,moderate rain
191,Antonina,BR,-25.4286,-48.7119,67.68,99,67,1.77,broken clouds
192,Aseri,EE,59.4506,26.8675,49.15,87,86,7.7,overcast clouds
193,Gat,IL,31.61,34.7642,72.39,100,0,0.69,clear sky
194,Skelleftea,SE,64.7507,20.9528,43.16,65,1,9.22,clear sky
195,Saint-Ambroise,CA,48.5501,-71.3324,51.58,96,91,1.34,overcast clouds
196,Mahina,PF,-17.5065,-149.489,80.37,74,40,6.91,light rain
197,Coquimbo,CL,-29.9533,-71.3436,51.53,81,0,5.75,clear sky
198,Agirish,RU,61.9247,63.0231,49.95,40,6,3.94,clear sky
199,Vardo,NO,70.3705,31.1107,44.58,81,100,19.57,overcast clouds
200,Marsaxlokk,MT,35.8419,14.5431,77.61,53,0,6.91,clear sky
201,Yarmouth,US,41.7057,-70.2286,61.0,76,0,5.75,clear sky
202,Venustiano Carranza,MX,19.43,-99.0992,73.38,27,40,13.8,scattered clouds
203,Cap-Aux-Meules,CA,47.3821,-61.8597,44.62,87,100,6.91,overcast clouds
204,Ati,TD,13.2154,18.3353,84.7,40,91,7.47,overcast clouds
205,Baft,IR,29.234,56.6057,68.22,14,0,6.29,clear sky
206,Souillac,MU,-20.5167,57.5167,70.18,83,40,2.3,light rain
207,Rokiskis,LT,55.9667,25.5833,51.75,87,95,2.35,overcast clouds
208,Volokonovka,RU,50.4827,37.8563,54.23,89,0,6.31,clear sky
209,Lasa,IT,46.6166,10.7002,49.37,83,0,4.61,clear sky
210,Maniitsoq,GL,65.4167,-52.9,42.8,57,2,9.71,clear sky
211,Broken Hill,AU,-31.95,141.4333,56.05,47,16,17.16,few clouds
212,Butaritari,KI,3.0707,172.7902,82.71,69,54,11.86,broken clouds
213,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.3,44,2,2.68,clear sky
214,Thompson,CA,55.7435,-97.8558,53.76,71,75,4.61,broken clouds
215,Kodiak,US,57.79,-152.4072,56.71,72,0,9.22,clear sky
216,Mumford,GH,5.2618,-0.759,77.79,82,100,7.78,overcast clouds
217,Pontes E Lacerda,BR,-15.2261,-59.3353,69.89,59,8,2.24,clear sky
218,Tiksi,RU,71.6872,128.8694,42.44,75,85,5.3,overcast clouds
219,Anadyr,RU,64.75,177.4833,48.7,76,75,24.61,light rain
220,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,81,100,28.77,overcast clouds
221,Severo-Kurilsk,RU,50.6789,156.125,47.23,79,74,3.06,broken clouds
222,Nanortalik,GL,60.1432,-45.2371,43.48,76,100,1.43,overcast clouds
223,Pathein,MM,16.7833,94.7333,78.57,89,100,4.99,overcast clouds
224,Tarija,BO,-21.5355,-64.7296,55.63,95,79,1.12,broken clouds
225,Aleksandrov Gay,RU,50.147,48.5704,68.54,74,92,8.39,overcast clouds
226,Osakarovka,KZ,50.565,72.5692,58.41,52,85,5.7,overcast clouds
227,Faanui,PF,-16.4833,-151.75,80.13,75,66,15.37,light rain
228,Suleja,NG,9.1758,7.1808,72.63,67,96,1.54,overcast clouds
229,Juneau,US,58.3019,-134.4197,66.2,77,75,9.22,broken clouds
230,Kibaek,DK,56.0317,8.857,55.76,64,100,10.78,overcast clouds
231,Hervey Bay,AU,-25.2986,152.8535,66.02,74,100,7.0,light rain
232,Lufilufi,WS,-13.8745,-171.5986,82.51,73,10,10.74,clear sky
233,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,77,75,12.66,broken clouds
234,Constantine,DZ,36.365,6.6147,65.61,59,0,2.3,clear sky
235,Bandarbeyla,SO,9.4942,50.8122,80.42,72,51,19.35,broken clouds
236,Balingasay,PH,16.3573,119.8564,85.66,67,83,7.2,broken clouds
237,Gorzow Wielkopolski,PL,52.7368,15.2288,60.84,57,99,1.99,overcast clouds
238,Manzini,SZ,-26.25,31.5,58.15,90,86,4.0,light rain
239,Sarangani,PH,5.4033,125.4636,83.53,69,89,5.28,overcast clouds
240,Dvinskoy,RU,62.1535,45.1175,55.0,80,7,3.2,clear sky
241,Lata,PT,40.1629,-8.3327,57.07,95,71,1.95,broken clouds
242,Korla,CN,41.7597,86.1469,80.22,12,0,20.22,clear sky
243,Ubatuba,BR,-23.4339,-45.0711,65.16,87,33,3.4,scattered clouds
244,Nelson Bay,AU,-32.7167,152.15,62.01,47,0,5.99,clear sky
245,Provideniya,RU,64.3833,-173.3,44.71,70,0,8.99,clear sky
246,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,96,97,5.53,overcast clouds
247,Bodhan,IN,18.6667,77.9,93.94,35,48,17.09,scattered clouds
248,Cayenne,GF,4.9333,-52.3333,80.1,1,75,2.3,broken clouds
